버스정류장ARS번호,승차총승객수,하차총승객수,승하차총승객수
0,8,827,835
1001,14189,14080,28269
1002,80235,66363,146598
1003,128037,87992,216029
1004,20998,24660,45658
1005,52719,78222,130941
1006,57017,31024,88041
1007,88614,99562,188176
1008,58221,46057,104278
1009,106184,100553,206737
1010,86940,90919,177859
1011,112995,100476,213471
1012,100956,99424,200380
1013,122935,97284,220219
1014,140298,113666,253964
1015,135181,82649,217830
1016,98092,117830,215922
1017,56025,52916,108941
1018,39522,77983,117505
1019,111327,120802,232129
1020,72524,67414,139938
1021,99429,52778,152207
1022,68488,94449,162937
1023,175040,132489,307529
1037,95390,128723,224113
1041,80985,48754,129739
1044,91562,105195,196757
1101,14392,6564,20956
1102,37615,13388,51003
1103,5535,13502,19037
1104,11533,8431,19964
1105,2455,5610,8065
1106,15405,3489,18894
1107,2401,16823,19224
1108,4374,5871,10245
1109,9240,12304,21544
1110,29352,39823,69175
1111,16610,29788,46398
1112,11697,28780,40477
1113,34617,16860,51477
1114,102789,51587,154376
1115,44744,133746,178490
1116,120962,40810,161772
1117,31873,52981,84854
1118,151716,40424,192140
1119,2052,6116,8168
1120,30218,22240,52458
1123,27195,26388,53583
1124,4960,9407,14367
1125,5684,1122,6806
1126,52471,104211,156682
1127,47358,85079,132437
1128,18169,60988,79157
1129,6845,10395,17240
1130,38700,31687,70387
1131,36044,30214,66258
1132,11650,8099,19749
1133,38450,19763,58213
1134,16962,12048,29010
1135,6326,3895,10221
1136,20496,8603,29099
1137,20477,8418,28895
1138,15486,8167,23653
1139,6049,14647,20696
1140,9554,21199,30753
1141,10699,19233,29932
1142,8256,14834,23090
1143,17667,13464,31131
1144,29666,36962,66628
1146,10710,16686,27396
1148,2136,141,2277
1149,8026,706,8732
1150,16756,5572,22328
1151,8306,9635,17941
1152,32648,12373,45021
1153,15692,19001,34693
1154,473,3797,4270
1155,8672,7413,16085
1156,36441,10244,46685
1157,34811,11177,45988
1158,14358,5899,20257
1159,25079,9403,34482
1160,7353,17338,24691
1161,4004,14282,18286
1162,7695,13475,21170
1163,8897,29468,38365
1164,5639,28099,33738
1165,1592,3753,5345
1167,7604,17110,24714
1168,23947,22294,46241
1169,46025,27177,73202
1171,13875,5563,19438
1172,48219,79701,127920
1173,8670,6385,15055
1174,1068,1290,2358
1175,1284,1785,3069
1176,408,894,1302
1177,2407,2513,4920
1198,55297,55078,110375
1199,62693,38668,101361
1200,104146,63699,167845
1201,47637,29827,77464
1202,35516,47693,83209
1203,11623,19142,30765
1204,10739,21075,31814
1205,43477,24541,68018
