자치구,3월 평균,4월 평균,5월 평균
중랑구,19.75515242,12.00945243,10.09113753
동대문구,20.36637396,12.83476983,11.49519131
중구,18.15036801,11.03651819,10.51488149
영등포구,22.84517451,14.17176039,11.61062951
양천구,19.00860443,11.64215943,9.555243237
은평구,20.13602067,12.94408585,10.48228785
강북구,18.17839866,11.74247198,9.232380338
종로구,21.61677996,14.12627352,11.79514011
광진구,18.17449655,11.15760974,8.722498112
동작구,18.92394542,11.53318596,9.647021269
용산구,27.40164342,17.56084487,15.97426849
관악구,20.60304391,12.73872,10.45283196
송파구,19.70057067,12.2151363,9.833359884
강동구,19.66214579,12.03552744,9.485779945
구로구,18.37583171,10.81144519,10.0099363
노원구,15.93851135,9.719138834,7.429324486
도봉구,17.37033092,11.1615396,8.676404076
강서구,20.07055933,12.41749463,11.94024603
강남구,22.22507614,15.91652553,27.21636492
서초구,21.1854402,13.13444564,10.60082733
성동구,21.54673477,13.23118627,11.59988458
성북구,17.7595726,11.23530579,9.742226174
마포구,19.88108232,12.5561636,11.03284569
서대문구,18.87410395,12.08340017,10.15024359
금천구,20.37479492,12.40014914,10.89152912
